Category	category	Item #	SPECIES	SEEDS/OZ	SEEDS/PKT	GERM CODE	packet	1/8 oz	1/4 oz	1/2 oz	ounce	pound	Dormant Bare Roots	Potted 3-Pack	Potted Tray of 32	Potted Tray of 36	Potted Tray of 38	Potted Tray of 50	SPECIES	SUN	SOIL	HT	BLOOM TIME	BLOOM COLOR
Forb	F	AMM02F	Ammannia coccinea (Scarlet Toothcup)	"1,400,000"	"1,000"	A	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00							Ammannia coccinea (Scarlet Toothcup)	Partial	Wet to Medium-Wet	2ft	June July August	Pink
Tree/Shrub/Woody Vine	T	AMO02T	Amorpha canescens (Lead Plant)	"16,000"	150	"C(10),J,I"	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00	$11.00	$24.00				$189.00	Amorpha canescens (Lead Plant)	Full to Partial	Medium to Dry	3ft	June July August	Purple
Tree/Shrub/Woody Vine	T	AMO04T	Amorpha fruticosa (False Indigo)	"2,700"	100	"C(10),I"	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00							Amorpha fruticosa (False Indigo)	Full to Partial	Medium-Wet to Dry	up to 12ft	June July August	Purple
Tree/Shrub/Woody Vine	T	AMO06T	Amorpha nana (Fragrant False Indigo)	"11,000"	100	"C(10),I"	$3.50	$10.00	$15.00	$25.00	$40.00								Amorpha nana (Fragrant False Indigo)	Full	Medium to Dry	2ft	June July August	Purple
Forb	F	AMS01F	Amsonia illustris (Ozark Bluestar)	"1,600"	60	C(60)	$3.50	$4.50	$6.00	$9.75	$15.00						$169.00	$169.00	Amsonia illustris (Ozark Bluestar)	Full to Partial	Medium	3ft	April May	Blue
Forb	F	AMS02F	Amsonia tabernaemontana (Eastern Bluestar)	"1,400"	25	C(60)	$3.50											$169.00	Amsonia tabernaemontana (Easter Bluestar)	Full to Partial	Medium-Wet to Medium	3ft	April May June	Blue
Forb	F	ANA10F	Anaphalis margaritacea (Pearly Everlasting)	"218,000"	300	C(30)	$3.50							$21.00	$129.00				Anaphalis margaritacea (Pearly Everlasting)	Full to Partial	Medium-Dry to Dry	2ft	June July August September	White
Grass/Sedge/Rush	G	AND02G	Andropogon gerardii (Big Bluestem)	"10,000"	500	A	$3.50				$4.00	$15.00		$18.00			$169.00	$159.00	Andropogon gerardii (Big Bluestem)	Full to Partial	Medium-Wet to Dry	7ft	June July August September	
Grass/Sedge/Rush	G	AND08G	Andropogon virginicus (Broomsedge)	"70,000"	500	C(30)	$3.50	$4.50	$6.00										Andropogon virginicus (Broomsedge)	Full to Partial	Medium to Dry	4ft	August September	
Forb	F	ANE02F	Anemone canadensis (Canada Anemone)	"8,000"	200	F	$3.50	$10.00					$8.00	$24.00				$189.00	Anemone canadensis (Canada Anemone)	Full to Partial	Medium-Wet to Medium	12in	May June	White
Forb	F	ANE06F	Anemone cylindrica (Thimbleweed)	"40,000"	200	C(60)	$3.50	$11.25	$17.50	$30.00	$50.00							$169.00	Anemone cylindrica (Thimbleweed)	Full to Partial	Medium to Dry	2ft	June July	White
Forb	F	ANE08F	Anemone patens var. wolfgangiana (Pasque Flower)	"18,000"	100	M	$3.50	$15.00	$25.00						$179.00				Anemone patens var. wolfgangiana (Pasque Flower)	Full to Partial	Medium-Dry to Dry	6in	April May	Purple
Forb	F	ANE10F	Anemone virginiana (Tall Thimbleweed)	"28,000"	100	C(60)	$3.50	$10.00											Anemone virginiana (Tall Thimbleweed)	Full to Shade	Medium-Dry to Dry	3ft	June July August	White
Forb	F	ANT03F	Antennaria parlinii (Parlin's Pussytoes)	"275,000"	300	"C(60),D"	$3.50												Antennaria parlinii (Parlin's Pussytoes)	Full to Partial	Medium to Dry	12in	April May June	White
Forb	F	ANG02F	Angelica atropurpurea (Great Angelica)	"5,400"	300	F	$3.50			$4.50	$5.00	$75.00						$169.00	Angelica atropurpurea (Great Angelica)	Full to Partial	Medium-Wet to Medium	7ft	May June	Green
Forb	F	ANT02F	Antennaria neglecta (Prairie Pussytoes)	"275,000"	300	"C(60),D"	$3.50	$23.75	$42.50				$7.00					$169.00	Antennaria neglecta (Prairie Pussytoes)	Full to Partial	Medium to Dry	12in	April May June	White
Forb	F	ANT04F	Antennaria plantaginifolia (Pussytoes)	"275,000"	300	"C(60),D"	$3.50	$23.75	$42.50				$7.00					$169.00	Antennaria plantaginifolia (Pussytoes)	Full to Partial	Medium to Dry	12in	April May June	White
Forb	F	APO02F	Apocynum cannabinum (Dogbane)	"22,000"	75	A	$3.50	$10.00	$15.00					$18.00					Apocynum cannabinum (Dogbane)	Full to Partial	Medium-Wet to Medium-Dry	4ft	May June July August	White
Forb	F	AQU02F	Aquilegia canadensis (Columbine)	"25,000"	250	"C(60),M"	$3.50	$6.25	$10.00	$16.25	$25.00	$375.00	$8.00	$21.00			$169.00	$159.00	Aquilegia canadensis (Columbine)	Full to Shade	Medium to Dry	2ft	April May June	Red
Forb	F	ARA00F	Arabis glabra (Tower Mustard)	"300,000"	500	"C(60),D"	$3.50	$5.00											Arabis glabra (Tower Mustard)	Full	Medium-Wet to Dry	3ft	May June July	Cream
Forb	F	ARA02F	Aralia racemosa (Spikenard)	"33,000"	100	"C(60),M"	$3.50	$12.50	$20.00	$35.00					$129.00				Aralia racemosa (Spikenard)	Partial to Shade	Medium-Wet to Medium	4ft	July August	Green
Forb	F	ARI02F	Arisaema triphyllum (Jack-in-the-Pulpit)	400	10	"F,L"	$3.50	$10.00	$15.00	$25.00	$40.00		$10.00		$179.00				Arisaema triphyllum (Jack-in-the-Pulpit)	Partial to Shade	Medium-Wet to Medium-Dry	2ft	April May June July	Green
Forb	F	CAC02F	Arnoglossum atriplicifolium (Pale Indian Plantain)	"7,500"	100	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00						$169.00	Arnoglossum atriplicifolium (Pale Indian Plantain)	Full to Partial	Medium to Medium-Dry	7ft	July August September	White
Forb	F	CAC10F	Arnoglossum plantagineum (Prairie Indian Plantain)	"4,700"	35	C(60)	$3.50											$169.00	Arnoglossum plantagineum (Prairie Indian Plantain)	Full	Medium-Wet to Medium	4ft	June July	White
Forb	F	CAC04F	Arnoglossum reniforme (Great Indian Plantain)	"3,700"	100	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00							Arnoglossum reniforme (Great Indian Plantain)	Full to Partial	Medium-Wet to Medium	8ft	June July August September	White
Forb	F	ART02F	Artemisia ludoviciana (Prairie Sage)	"275,000"	"1,000"	"C(30),D"	$3.50	$8.50	$12.75	$21.50	$35.00			$21.00			$169.00		Artemisia ludoviciana (Prairie Sage)	Full to Partial	Medium to Dry	3ft	July August September	Green
Forb	F	ASA02F	Asarum canadense (Wild Ginger)	"4,800"	40	"L,E"	$3.50						$7.00		$179.00				Asarum canadense (Wild Ginger)	Shade	Medium-Wet to Medium-Dry	6in	April May June	Red
Forb	F	ASC01F	Asclepias arenaria (Western Sand Milkweed)	"2,000"	15	C(60)	$3.50	$17.50	$30.00										Asclepias arenaria (Western Sand Milkweed)	Full	Dry	18in	May June July August	Green
Forb	F	ASC04F	Asclepias exaltata (Poke Milkweed)	"3,000"	30	C(30)	$3.50							$24.00	$129.00				Asclepias exaltata (Poke Milkweed)	Partial to Shade	Medium-Wet to Medium-Dry	5ft	June July	White
Forb	F	ASC06F	Asclepias hirtella (Tall Green Milkweed)	"3,800"	30	C(30)	$3.50								$129.00	$119.00			Asclepias hirtella (Tall Green Milkweed)	Full to Partial	Medium-Wet to Dry	4ft	June July August	White
Forb	F	ASC03F	Asclepias humistrata (Pinewoods Milkweed)	"4,000"	20	C(30)	$3.50												Asclepias humistrata (Pinewoods Milkweed)	Full	Dry	2ft	April May June	Pink
Forb	F	ASC08F	Asclepias incarnata (Rose Milkweed)	"4,800"	100	C(30)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00	$7.00	$21.00			$169.00	$159.00	Asclepias incarnata (Rose Milkweed)	Full to Partial	Wet to Medium	4ft	June July August	Pink
Forb	F	ASC09F	Asclepias purpurascens (Purple Milkweed)	"4,000"	20	C(30)								$24.00	$179.00				Asclepias purpurascens	Full to Partial	Medium-Wet to Medium-Dry	3ft	June July	Purple
Forb	F	ASC10F	Asclepias speciosa (Showy Milkweed)	"4,500"	55	C(30)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00		$21.00					Asclepias speciosa (Showy Milkweed)	Full	Medium to Dry	4ft	June July August	Pink
Forb	F	ASC12F	Asclepias sullivantii (Prairie Milkweed)	"4,500"	55	C(30)	$3.50	$10.75	$16.25	$27.50	$45.00							$169.00	Asclepias sullivantii (Prairie Milkweed)	Full	Medium-Wet to Medium	3ft	June July August	Pink
Forb	F	ASC14F	Asclepias syriaca (Common Milkweed)	"4,000"	150	C(30)	$3.50			$4.50	$5.00	$75.00	$7.00	$21.00			$169.00	$169.00	Asclepias syriaca (Common Milkweed)	Full to Partial	Medium-Wet to Dry	3ft	June July August	Pink
Forb	F	ASC16F	Asclepias tuberosa (Butterfly Weed)	"4,300"	100	C(30)	$3.50	$5.00	$8.00	$13.00			$10.00	$21.00			$169.00	$169.00	Asclepias tuberosa (Butterfly Weed)	Full to Partial	Medium to Dry	2ft	June July August	Orange
Forb	F	ASC18F	Asclepias verticillata (Whorled Milkweed)	"11,000"	100	C(30)	$3.50	$10.00	$15.00	$25.00	$40.00		$8.00	$21.00				$169.00	Asclepias verticillata (Whorled Milkweed)	Full to Partial	Medium to Dry	2ft	July August September	White
Forb	F	ASC20F	Asclepias viridiflora (Short Green Milkweed)	"3,300"	15	C(30)									$129.00				Asclepias viridiflora (Short Green Milkweed)	Full to Partial	Medium-Dry to Dry	12in	July	Green
Forb	F	ASC22F	Asclepias viridis (Spider Milkweed)	"3,400"	30	C(30)	$3.50	$8.50	$12.75	$21.50	$35.00			$24.00	$129.00				Asclepias viridis (Spider Milkweed)	Full to Partial	Medium-Dry to Dry	12in	May June	Green
Forb	F	AST52F	Astragalus canadensis (Canada Milk Vetch)	"15,000"	500	"C(10),H,I"	$3.50			$4.00	$4.50	$60.00						$169.00	Astragalus canadensis (Canada Milk Vetch)	Full to Partial	Medium-Wet to Dry	3ft	June July August	Cream
Forb	F	AST54F	Astragalus crassicarpus (Ground Plum)	"7,300"	75	"C(10),H,I"	$3.50												Astragalus crassicarpus (Ground Plum)	Full	Medium-Dry to Dry	12in	May June	Purple
Forb	F	AST60F	Astragalus racemosus (Creamy Milk Vetch)	"6,000"	200	"C(10),H,I"	$3.50	$4.50	$6.00	$9.75	$15.00	$225.00							Astragalus racemosus (Creamy Milk Vetch)	Full	Medium-Dry to Dry	2ft	May June	Cream
Fern	S	ATH04S	Athyrium filix-femina (Lady Fern)			S							$7.00						Athyrium filix-femina (Lady Fern)	Full to Shade	Medium-Wet to Medium	12in		
Forb	F	AUR06F	Aureolaria flava (Smooth Yellow False Foxglove)	"65,000"	500	"C(60),D,K"	$3.50												Aureolaria flava (Smooth Yelow False Foxglove)	Partial	Medium-Dry to Dry	4ft	July August September October	Yellow
Cover Crop	C	AVECC	Avena sativa (Oats) - Cover Crop	800		A						$4.00							Avena sativa (Oats) - Cover Crop	Full to Partial	Medium-Wet to Dry	3ft		
Forb	F	BAP06F	Baptisia alba (White Wild Indigo)	"1,700"	75	"C(10),H,I"	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00	$7.00		$129.00		$169.00		Baptisia alba (White Wild Indigo)	Full to Partial	Medium-Wet to Dry	4ft	June July	White
Forb	F	BAP04F	Baptisia australis (Blue Wild Indigo)	"1,800"	75	"C(10),H,I"	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00		$21.00			$169.00	$169.00	Baptisia australis (Blue Wild Indigo)	Full to Partial	Medium-Wet to Medium	4ft	May June July	Blue
Forb	F	BAP09F	Baptisia australis var. minor (Dwarf Blue Indigo)	"2,000"	25	"C(10),H,I"	$3.50	$4.00	$4.80	$7.80	$12.00								Baptisia australis var. minor (Dwarf Blue Indigo)	Full	Medium-Dry to Dry	3ft	May June	Blue
Forb	F	BAP08F	Baptisia bracteata (Cream Wild Indigo)	"1,700"	10	"C(10),H,I"	$3.50	$11.25	$17.50	$30.00	$50.00			$21.00	$129.00		$169.00		Baptisia bracteata (Cream Wild Indigo)	Full to Partial	Medium to Dry	2ft	May June	Cream
Forb	F	BAP07F	Baptisia sphaerocarpa (Large Yellow Wild Indigo)	"1,700"	10	"C(10),H,I"	$3.50												Baptisia sphaerocarpa (Large Yellow Wild Indigo)	Full	Medium to Dry	3ft	June July	Yellow
Forb	F	BAP10F	Baptisia tinctoria (Small Yellow Wild Indigo)	"5,000"	75	"C(10),H,I"	$3.50	$7.50	$12.00	$19.50	$30.00	$450.00	$20.00				$169.00		Baptisia tinctoria (Small Yellow Wild Indigo)	Full to Partial	Medium-Wet to Dry	2ft	June July August	Yellow
Grass/Sedge/Rush	G	BEC02G	Beckmannia syzigachne (American Slough Grass)	"40,000"	"1,000"	A	$3.50				$4.00								Beckmannia syzigachne (American Slough Grass)	Full	Wet to Medium-Wet	2ft	June July August	
Tree/Shrub/Woody Vine	T	BET10T	Betula nigra (River Birch)										$11.00						Betula nigra (River Birch)	Full to Partial	Wet to Medium	up to 80ft	April May	Green
Forb	F	BID01F	Bidens aristosa (Swamp Marigold)	"8,600"	100	C(60)	$3.50		$4.00	$5.00	$6.00	$90.00							Bidens aristosa (Swamp Marigold)	Full to Partial	Wet to Medium-Wet	4ft	August September October	Yellow
Forb	F	BID02F	Bidens cernua (Nodding Bur Marigold)	"27,000"	200	C(60)	$3.50	$4.00	$4.80	$7.80	$12.00								Bidens cernua (Nodding Bur Marigold)	Full	Wet to Medium-Wet	3ft	June July August September	Yellow
Forb	F	BID03F	Bidens connata (Purple-stemmed Tickseed)	"15,000"	100	C(60)	$3.50												Bidens connata (Purple-stemmed Tickseed)	Full to Partial	Wet to Medium-Wet	4ft	September October	Orange
Forb	F	BID04F	Bidens coronata (Tall Swamp Marigold)	"13,000"	100	C(30)	$3.50	$4.50	$6.00	$9.75	$15.00								Bidens coronata (Tall Swamp Marigold)	Full	Wet to Medium-Wet	4ft	August September October	Yellow
Forb	F	BID06F	Bidens frondosa (Common Beggarticks)	"4,500"	50	C(60)	$3.50	$4.00	$4.80	$7.80	$12.00								Bidens frondosa (Common Beggarticks)	Full to Shade	Wet to Medium-Wet	3ft	August September October	Yellow
Forb	F	BID10F	Bidens polylepis (Bearded Beggarticks)	"10,000"	75	C(60)	$3.50			$4.50	$5.00	$75.00							Bidens polylepis (Bearded Beggarticks)	Full	Wet to Medium	4ft	August September October	Orange
Forb	F	BLE02F	Blephilia ciliata (Downy Wood Mint)	"400,000"	"1,000"	C(60)	$3.50						$7.00				$169.00	$169.00	Blephilia ciliata (Downy Wood Mint)	Full to Partial	Medium to Dry	12in	June July	Purple
Forb	F	BLE04F	Blephilia hirsuta (Hairy Wood Mint)	"200,000"	"1,000"	C(60)	$3.50	$10.00									$169.00	$169.00	Blephilia hirsuta (Hairy Wood Mint)	Partial to Shade	Medium-Wet to Medium	3ft	June July August September	White
Forb	F	BOE04F	Boehmeria cylindrica (Smallspike False Nettle)	"160,000"	"1,000"	A	$3.50	$10.00	$15.00	$25.00	$40.00								Boehmeria cylindrica (Smallspike False Nettle)	Partial	Medium-Wet to Medium	3ft	June July August	Yellow
Forb	F	BOL02F	Boltonia asteroides (False Aster)	"175,000"	"2,000"	"C(60),D"	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00	$7.00	$21.00			$169.00	$169.00	Boltonia asteroides (False Aster)	Full to Partial	Wet to Medium	4ft	August September October	White
Forb	F	BOL04F	Boltonia decurrens (Decurrent False Aster)	"200,000"	"1,000"	"C(60),D"	$3.50	$4.00	$4.50	$5.20	$8.00								Boltonia decurrens (Decurrent False Aster)	Full	Wet to Medium-Wet	7ft	August September October	White
Grass/Sedge/Rush	G	BOU02G	Bouteloua curtipendula (Side-oats Grama)	"4,000"	300	A	$3.50				$4.00	$30.00		$18.00			$169.00	$159.00	Bouteloua curtipendula (Side-oats Grama)	Full to Partial	Medium to Dry	2ft	August September	
Grass/Sedge/Rush	G	BOU04G	Bouteloua gracilis (Blue Grama)	"40,000"	500	A	$3.50				$4.00	$30.00						$169.00	Bouteloua gracilis (Blue Grama)	Full to Partial	Medium-Dry to Dry	12in	July August September	Blue
Forb	F	KUH02F	Brickellia eupatorioides (False Boneset)	"22,000"	200	A	$3.50	$7.50	$12.00	$19.50	$30.00	$450.00							Brickellia eupatorioides (False Boneset)	Full to Partial	Medium-Dry to Dry	3ft	August September	Cream
Grass/Sedge/Rush	G	BRO02G	Bromus ciliatus (Fringed Brome)	"5,500"	300	A	$3.50	$4.00	$4.50	$5.20	$8.00								Bromus ciliatus (Fringed Brome)	Full to Partial	Wet to Medium-Wet	4ft	July August September	
Grass/Sedge/Rush	G	BRO04G	Bromus kalmii (Prairie Brome)	"8,000"	500	A	$3.50	$4.00	$4.50	$5.20	$8.00							$169.00	Bromus kalmii (Prairie Brome)	Full to Partial	Medium-Wet to Medium-Dry	3ft	July August September	
Grass/Sedge/Rush	G	BRO00G	Bromus latiglumis (Ear-leaved Brome)	"7,600"	300	C(30)	$3.50	$4.50	$6.00										Bromus latiglumis (Ear-leaved Brome_	Partial to Shade	Medium to Medium-Dry	4ft	July August	
Grass/Sedge/Rush	G	BRO06G	Bromus pubescens (Hairy Wood Chess)	"5,500"	300	C(30)	$3.50											$169.00	Bromus pubescens (Hairy Wood Chess)	Partial to Shade	Medium-Wet to Medium-Dry	4ft	June July August	
Grass/Sedge/Rush	G	BUC02G	Buchloe dactyloides (Buffalo Grass)-Cultivar	"36,000"	250	A					$4.00	$40.00							Buchloe dactyloides (Buffalo Grass)-Cultivar	Full	Medium to Dry	5in	May June July August	
Grass/Sedge/Rush	G	CAL02G	Calamagrostis canadensis (Blue Joint Grass)	"280,000"	"1,000"	"A,D"	$3.50	$11.25	$17.50	$30.00	$50.00							$159.00	Calamagrostis canadensis (Blue Joint Grass)	Full to Partial	Wet to Medium	4ft	June July August	
Forb	F	CAL51F	Callirhoe bushii (Bush's Poppy Mallow)	"4,000"	30	"B,C(30)"	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00		$21.00			$169.00		Callirhoe bushii (Bush's Poppy Mallow)	Full to Partial	Medium to Dry	2ft	June July August	Pink
Forb	F	CAL53F	Callirhoe involucrata (Purple Poppy Mallow)	"4,500"	25	"B,C(30)"	$3.50											$189.00	Callirhoe involucrata (Purple Poppy Mallow)	Full	Medium-Dry to Dry	6in	June July August	Pink
Forb	F	CAL52F	Callirhoe triangulata (Clustered Poppy Mallow)	"5,800"	50	"B,C(60)"	$3.50	$11.25											Callirhoe triangulata (Clustered Poppy Mallow)	Full to Partial	Medium-Dry to Dry	12in	July August September	Pink
Forb	F	CAL62F	Caltha palustris (Marsh Marigold)	"26,000"	80	C(60)	$3.50						$10.00		$129.00				Caltha palustris (Marsh Marigold)	Full to Shade	Wet to Medium-Wet	2ft	April May June	Yellow
Forb	F	CAM02F	Camassia scilloides (Wild Hyacinth)	"5,500"	40	M	$3.50	$8.50	$12.75	$21.50	$35.00		$6.00						Camassia scilloides (Wild Hyacinth)	Full to Partial	Medium-Wet to Medium-Dry	2ft	May June	Blue
Forb	F	CAM52F	Campanula americana (Tall Bellflower)	"170,000"	"1,000"	C(30)	$3.50	$7.50	$12.00	$19.50	$30.00						$169.00	$169.00	Campanula americana (Tall Bellflower)	Partial to Shade	Medium-Wet to Medium-Dry	5ft	July August September October	Blue
Forb	F	CAM54F	Campanula rotundifolia (Harebell)	"500,000"	500	"C(60),D"									$129.00				Campanula rotundifolia (Harebell)	Full to Partial	Medium-Dry to Dry	12in	June July August September	Purple
Forb	F	DEN02F	Cardamine concatenata (Toothwort)	"72,000"	30	C(60)							$10.00						Cardamine concatenata (Toothwort)	Shade	Medium-Wet to Medium	12in	April May	White
Grass/Sedge/Rush	G	CAR81G	Carex albicans (White-tinged Sedge)			C(60)												$189.00	Carex albicans (White-tinged Sedge)	Partial to Shade	Medium to Dry	16in	April May June	Cream
Grass/Sedge/Rush	G	CAR01G	Carex albursina (White Bear Sedge)	"115,000"	75	C(60)							$8.00						Carex albursina (White Bear Sedge)	Partial to Shade	Medium	2ft		
Grass/Sedge/Rush	G	CAR04G	Carex annectens (Sm Yellow Fox Sedge)	"45,000"	500	C(60)	$3.50	$4.50	$6.00	$9.75	$15.00						$169.00	$159.00	Carex annectens (Sm Yellow Fox Sedge)	Full to Partial	Wet to Medium	2ft	July August	
Grass/Sedge/Rush	G	CAR90G	Carex appalachica (Appalachian Sedge)															$189.00	Carex appalachica (Appalachian Sedge)	Partial to Shade	Medium to Medium-Dry	12in	May June	
Grass/Sedge/Rush	G	CAR75G	Carex aquatilis (Water Sedge)	"40,000"	300	C(60)	$3.50											$169.00	Carex aquatilis (Water Sedge)	Full	Wet	5ft	June July	
Grass/Sedge/Rush	G	CAR49G	Carex atherodes (Hairy-leaved Lake Sedge)	"10,000"	300	C(60)	$3.50	$5.00	$8.00	$13.00									Carex atherodes (Hairy-leaved Lake Sedge)	Full to Partial	Wet to Medium-Wet	3ft	May June	
Grass/Sedge/Rush	G	CAR05G	Carex bebbii (Bebb's Oval Sedge)	"125,000"	500	C(60)	$3.50	$4.50	$7.00									$169.00	Carex bebbii (Bebb's Oval Sedge)	Full	Medium-Wet to Medium	3ft	June July	
Grass/Sedge/Rush	G	CAR03G	Carex bicknellii (Copper-shouldered Oval Sedge)	"35,000"	500	C(60)	$3.50	$5.00	$8.00	$13.00				$21.00			$169.00	$169.00	Carex bicknellii (Copper-shouldered Oval Sedge)	Full to Partial	Medium-Wet to Medium-Dry	3ft	June July	
Grass/Sedge/Rush	G	CAR77G	Carex blanda (Common Wood Sedge)	"13,500"	100	C(60)	$3.50	$7.50					$7.00	$21.00				$169.00	Carex blanda (Common Wood Sedge)	Full to Shade	Wet to Medium-Dry	2ft	May June	
Grass/Sedge/Rush	G	CAR39G	Carex brevior (Plains Oval Sedge)	"29,000"	750	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00					$169.00	$169.00	Carex brevior (Plains Oval Sedge)	Full to Shade	Medium-Wet to Dry	12in	June July	
Grass/Sedge/Rush	G	CAR00G	Carex bromoides (Brome-like Sedge)	"80,000"	150	C(60)												$189.00	Carex bromoides (Brome-like Sedge)	Partial to Shade	Wet to Medium-Wet	2ft	April May June	Green
